Entidad,Antigüedad,Seguro,TIN Aplicado,24m,36m,48m,60m,72m,84m,96-120m
ABANCA,Hasta 95 meses,Si,0.0699,-,-,-,-,-,-,-
ABANCA,Hasta 95 meses,Si,0.0799,-,-,-,-,-,-,-
ABANCA,Hasta 95 meses,Si,0.0899,-,-,-,-,-,-,-
ABANCA,Hasta 95 meses,Si,0.0999,-,-,-,-,-,-,-
ABANCA,Hasta 95 meses,Si,0.1099,-,-,-,-,-,-,-
ABANCA,Hasta 95 meses,No,0.0699,-,-,-,-,-,-,-
ABANCA,Hasta 95 meses,No,0.0799,-,-,-,-,-,-,-
ABANCA,Hasta 95 meses,No,0.0899,-,-,-,-,-,-,-
ABANCA,Hasta 95 meses,No,0.0999,-,-,-,-,-,-,-
ABANCA,Hasta 95 meses,No,0.1099,-,-,-,-,-,-,-
ABANCA,Desde 96 meses,Si,0.0699,-,-,-,-,-,-,-
ABANCA,Desde 96 meses,Si,0.0799,-,-,-,-,-,-,-
ABANCA,Desde 96 meses,Si,0.0899,-,-,-,-,-,-,-
ABANCA,Desde 96 meses,Si,0.0999,-,-,-,-,-,-,-
ABANCA,Desde 96 meses,Si,0.1099,-,-,-,-,-,-,-
ABANCA,Desde 96 meses,Si,0.1199,-,-,-,-,-,-,-
ABANCA,Desde 96 meses,No,0.0699,-,-,-,-,-,-,-
ABANCA,Desde 96 meses,No,0.0799,-,-,-,-,-,-,-
ABANCA,Desde 96 meses,No,0.0899,-,-,-,-,-,-,-
ABANCA,Desde 96 meses,No,0.0999,-,-,-,-,-,-,-
ABANCA,Desde 96 meses,No,0.1099,-,-,-,-,-,-,-
ABANCA,Desde 96 meses,No,0.1199,-,-,-,-,-,-,-
BBVA,Hasta 84 meses,Si,0.0599,-,-,0.035,0.0875,0.1025,0.1125,0.1125
BBVA,Hasta 84 meses,Si,0.0725,-,-,0.06,0.1075,0.125,0.1475,0.1475
BBVA,Hasta 84 meses,Si,0.0825,-,-,0.0975,0.15,0.1725,0.195,0.195
BBVA,Hasta 84 meses,Si,0.0925,-,-,0.12,0.18,0.1975,0.22,0.22
BBVA,Hasta 84 meses,Si,0.1025,-,-,0.14,0.2175,0.2475,0.275,0.28
BBVA,Hasta 84 meses,Si,0.1125,-,-,-,0.2425,0.2675,0.285,0.2925
BBVA,Hasta 84 meses,No,0.0599,-,-,0.015,0.0575,0.0725,0.0825,0.0775
BBVA,Hasta 84 meses,No,0.0725,-,-,0.04,0.0775,0.095,0.1175,0.1125
BBVA,Hasta 84 meses,No,0.0825,-,-,0.0775,0.12,0.1425,0.165,0.16
BBVA,Hasta 84 meses,No,0.0925,-,-,0.1,0.15,0.1675,0.19,0.185
BBVA,Hasta 84 meses,No,0.1025,-,-,0.12,0.1875,0.2175,0.245,0.245
BBVA,Hasta 84 meses,No,0.1125,-,-,-,0.2125,0.2375,0.255,0.2575
BBVA,Desde 84 meses,Si,0.0599,0.036,0.056,0.056,0.056,0.056,0.056,-
BBVA,Desde 84 meses,Si,0.0699,-,0.0425,0.0425,0.08,0.09,0.0975,0.0975
BBVA,Desde 84 meses,Si,0.0725,-,-,-,-,-,-,-
BBVA,Desde 84 meses,Si,0.0825,-,0.045,0.055,0.1,0.115,0.1225,0.1325
BBVA,Desde 84 meses,Si,0.0925,-,0.06,0.09,0.14,0.16,0.1675,0.1775
BBVA,Desde 84 meses,Si,0.1025,-,-,0.1125,0.1675,0.1825,0.1925,0.2025
BBVA,Desde 84 meses,Si,0.1125,-,-,-,0.205,0.2325,0.25,0.26
BBVA,Desde 84 meses,Si,0.1175,-,-,-,-,-,-,-
BBVA,Desde 84 meses,No,0.0599,0.036,0.056,0.056,0.056,0.056,0.056,-
BBVA,Desde 84 meses,No,0.0699,-,0.0325,0.0225,0.05,0.06,0.0675,0.0625
BBVA,Desde 84 meses,No,0.0725,-,-,-,-,-,-,-
BBVA,Desde 84 meses,No,0.0825,-,0.035,0.055,0.07,0.085,0.0925,0.0975
